iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
257,-104.22,557.6,0.27,25.3,-0.0006,6.8502,-0.4828,0.0073,0.023,102
258,-100.77,551.9,0.30,24.1,-0.0011,21.4426,-0.4635,0.0045,0.017,112
259,-102.66,555.5,0.28,23.8,-0.0010,36.1214,-0.4627,0.0047,0.020,121
260,-96.84,557.7,0.28,22.2,-0.0005,3.4758,-0.4468,0.0055,0.034,131
261,-94.46,554.6,0.28,27.0,-0.0005,14.1175,-0.4514,0.0039,0.014,153
262,-98.86,550.6,0.31,27.8,-0.0013,101.0265,-0.4981,0.0035,0.020,163
263,-96.87,553.3,0.29,26.5,-0.0012,2.5555,-0.4578,0.0047,0.018,172
264,-105.36,555.7,0.28,28.0,-0.0008,94.0342,-0.5092,0.0022,0.010,181
265,-103.27,558.6,0.26,26.8,-0.0018,7.2042,-0.4883,0.0077,0.045,191
266,-107.49,560.5,0.25,27.3,0.0014,49.2107,-0.4961,0.0150,0.091,200
267,-102.67,562.3,0.25,25.7,-0.0008,3.6549,-0.4848,0.0048,0.025,210
268,-98.77,562.2,0.25,24.7,-0.0003,4.1710,-0.4753,0.0051,0.027,219
269,-99.21,564.2,0.24,24.4,-0.0008,37.3813,-0.5114,0.0032,0.013,229
270,-96.05,565.5,0.24,23.5,-0.0019,3.1664,-0.4857,0.0071,0.041,238
271,-93.42,563.5,0.24,23.4,-0.0016,11.0486,-0.4940,0.0108,0.057,261
272,-97.49,560.9,0.25,24.2,-0.0000,126.4792,-0.5349,0.0036,0.015,274
273,-95.85,562.6,0.24,23.3,-0.0009,4.8052,-0.4585,0.0043,0.026,287
274,-105.10,563.8,0.23,25.3,0.0004,130.3139,-0.5212,0.0088,0.049,298
275,-107.15,564.9,0.23,25.5,-0.0007,32.4342,-0.4810,0.0032,0.012,308
276,-105.78,564.6,0.23,24.9,-0.0008,15.7209,-0.4724,0.0037,0.011,317
277,-103.09,564.3,0.23,24.0,-0.0004,4.6479,-0.4569,0.0040,0.013,330
278,-100.99,565.3,0.22,23.4,-0.0017,16.8979,-0.4585,0.0047,0.027,343
279,-105.00,565.8,0.22,24.3,-0.0007,67.5076,-0.4688,0.0037,0.010,356
280,-101.06,563.7,0.24,23.4,-0.0000,9.2057,-0.4738,0.0034,0.011,368
281,-98.88,561.1,0.23,23.6,-0.0001,1.4339,-0.4885,0.0085,0.050,399
282,-98.95,560.5,0.24,23.5,0.0021,70.8047,-0.5068,0.0186,0.126,412
283,-99.95,561.4,0.24,23.5,-0.0014,29.8228,-0.4791,0.0072,0.044,424
284,-102.63,562.6,0.23,23.8,-0.0002,61.7369,-0.5148,0.0056,0.026,437
285,-104.82,563.4,0.22,24.1,-0.0007,49.5490,-0.4904,0.0037,0.013,451
286,-103.21,563.9,0.22,23.5,-0.0012,6.3455,-0.4802,0.0051,0.027,463
287,-102.07,564.7,0.22,23.1,-0.0015,3.7129,-0.4848,0.0043,0.018,475
288,-101.10,559.7,0.23,23.0,-0.0007,44.9102,-0.4808,0.0030,0.014,487
289,-27.35,563.7,0.33,0.0,-0.0015,3.6351,-0.4672,0.0040,0.015,18
290,-44.35,584.4,0.14,1.3,-0.0018,1.3454,-0.4502,0.0066,0.038,29
291,-53.94,536.1,0.09,3.7,0.0000,6.7364,-0.4338,0.0016,0.003,71
292,-51.53,549.8,0.07,2.9,-0.0007,30.1823,-0.4420,0.0055,0.018,83
293,-72.68,560.9,0.06,7.7,-0.0007,15.2123,-0.4557,0.0026,0.010,95
